N. PG Atto,Anno PG Atto,Tipologia incarico,Compenso presunto (Euro),Soggetto conferente,Data inzio incarico,Data fine incarico,Durata incarico (gg)
370016,2018,ATTIVITA' SPORTIVA DILETTANTISTICA: FORMATORE DI EDUCAZIONE STRADALE,0,FMI - FEDERAZIONE MOTOCICLISTICA ITALIANA,11/09/2018,10/09/2019,
370003,2018,ATTIVITA' SPORTIVA DILETTANTISTICA: FORMATORE DI EDUCAZIONE STRADALE,0,FMI - FEDERAZIONE MOTOCICLISTICA ITALIANA,11/09/2018,10/09/2019,
369975,2018,ATTIVITA' SPORTIVA DILETTANTISTICA: FORMATORE DI EDUCAZIONE STRADALE,0,FMI - FEDERAZIONE MOTOCICLISTICA ITALIANA,11/09/2018,10/09/2019,
369952,2018,ATTIVITA' SPORTIVA DILETTANTISTICA: FORMATORE DI EDUCAZIONE STRADALE,0,FMI - FEDERAZIONE MOTOCICLISTICA ITALIANA,11/09/2018,10/09/2019,
369918,2018,ATTIVITA' SPORTIVA DILETTANTISTICA: FORMATORE DI EDUCAZIONE STRADALE,0,FMI - FEDERAZIONE MOTOCICLISTICA ITALIANA,10/09/2018,11/09/2019,
369904,2018,ATTIVITA' SPORTIVA DILETTANTISTICA: FORMATORE DI EDUCAZIONE STRADALE,0,FMI - FEDERAZIONE MOTOCICLISTICA ITALIANA,11/09/2018,10/09/2019,
372928,2018,CONSULENZA AL R.U.P.,4800,COMUNE DI RAVENNA,12/09/2018,18/09/2018,
376113,2018,RILEVATORE ISTAT PER CENSIMENTO 2018,1,UNIONE RENO GALLIERA,14/09/2018,31/12/2018,
376145,2018,RILEVATORE ISTAT CENSIMENTO 2018,1,UNIONE DEI COMUNI DELLA BASSA ROMAGNA,14/09/2018,31/12/2018,
376175,2018,PARTECIPAZIONE A TRASMISSIONE TELEVISIVIA,100,ENDEMOL SHINE ITALY SPA,01/10/2018,31/03/2019,1
376153,2018,ATTIVITA' SPORTIVA DILETTANTISTICA,0,UISP,17/09/2018,30/07/2019,
376164,2018,ATTIVITA' SPORTIVA DILETTANTISTICA,0,POLISPORTIVA GIOVANNI MASI ASD,24/09/2018,30/07/2019,
379202,2018,COLLAUDO STATICO,3087.15,COMUNE DI SAN GIOVANNI IN PERSICETO,01/10/2018,31/03/2019,
379174,2018,DOCENZA,1143.17,"ISTITUTO COMPRENSIVO ""ANDREA FERRI"" DI SALA BOLOGNESE",22/09/2018,22/11/2018,
387707,2018,DOCENZA,360,ASSOCIAZIONE COMUNICAZIONE PUBBLICA,25/09/2018,25/09/2018,
387146,2018,DOCENZA,549,DEMETRA FORMAZIONE SRL,29/10/2018,29/11/2018,
387007,2018,VISITE GUIDATE,600,UNICREDIT SPA,06/10/2018,06/10/2018,
386974,2018,ATTIVITA' SPORTIVA DILETTANTISTICA,0,IMPARIAMO A BALLARE SRL SSD,01/10/2018,31/05/2019,
386936,2018,ATTIVITA' SPORTIVA DILETTANTISTICA,0,POLISPORTIVA GIOVANNI MASI ASD,24/09/2018,31/08/2019,
387681,2018,COMPONENTE COMITATO AVEC,7000,AZIENDA OSPEDALIERO-UNIVERSITARIA S. ORSOLA MALPIGHI,21/09/2018,31/12/2020,
386905,2018,C.T.U. (Consulente Tecnico d'Ufficio),500,CORTE D'APPELLO DI BOLOGNA,25/09/2018,24/03/2019,180
394188,2018,COMPONENTE ESPERTO COMMISSIONE GIUDICATRICE SELEZIONE PUBBLICA,350,COMUNE DI CESENA,01/10/2018,15/12/2018,
394132,2018,DOCENZA,650,ANUTEL,26/09/2018,26/09/2018,
394161,2018,DOCENZA,200,SCUOLA DI ECONOMIA MANAGEMENT E STATISTICA VICEPRESIDENZA DI RIMINI - ALMA MATER,03/10/2018,03/10/2018,
394208,2018,ATTIVITA' SPORTIVA DILETTANTISTICA,0,GYMNICA SOC. COOP. SPORTIVA DILETTANTISTICA,26/09/2018,31/07/2019,
397800,2018,ATTIVITA' DI PROMOZIONE DELLA LETTURA,1000,COOPERATIVA TUTTESTORIE,04/10/2018,08/10/2018,
397784,2018,DOCENZA,650,ANUTEL,04/10/2018,04/10/2018,
403615,2018,CONSULENZA,2000,FONDAZIONE RAFFAELE VALERIANI,02/10/2018,30/11/2018,
403634,2018,DOCENZA,700,CALDARINI & ASSOCIATI SRL,27/11/2018,27/11/2018,
403662,2018,CONSULENTE TECNICO D'UFFICIO (C.T.U.),1800,TRIBUNALE DI BOLOGNA,02/10/2018,01/03/2019,
406140,2018,DOCENZA,0,ALMA MATER UNIBO - FORLI',10/10/2018,17/10/2018,
406079,2018,DOCENZA,3900,SIAL SRL UNIPERSONALE,12/10/2018,15/12/2018,
406164,2018,ATTIVITA' SPORTIVA DILETTANTISTICA ,0,AGUANILEBBE SSD ARL,03/10/2018,26/06/2019,
413977,2018,ATTIVITA' SPORTIVA DILETTANTISTICA,0,PROGRESSO VOLLEY A.S.D.,09/10/2018,30/06/2019,
413991,2018,ATTIVITA' SPORTIVA DILETTANTISTICA,0,SPORT UP SSD ARL,09/10/2018,30/06/2019,
414003,2018,ATTIVITA' SPORTIVA DILETTANTISTICA,0,FEDERAZIONE ITALIANA PALLACANESTRO,11/10/2018,10/10/2019,
412915,2018,DOCENZA,600,AIS EMILIA,07/10/2018,28/11/2018,
412528,2018,DOCENZA,1950,OFICINA IMPRESA SOCIALE SRL,15/10/2018,15/06/2019,
415167,2018,ATTIVITA' SPORTIVA DILETTANTISTICA,0,PGS BELLARIA - Associazione Sportiva Dilettantistica,10/10/2018,31/05/2019,
421834,2018,DOCENZA,270,FONDAZIONE SCUOLA INTERREGIONALE DI POLIZIA LOCALE,21/11/2018,22/11/2018,
425983,2018,ATTIVITA' SPORTIVA DILETTANTISTICA,0,CSI CENTRO SPORTIVO ITALIANO - BOLOGNA,17/10/2018,30/09/2019,
426000,2018,ATTIVITA' SPORTIVA DILETTANTISTICA,0,FIP - FEDERAZIONE ITALIANA PALLACANESTRO,17/10/2018,30/09/2019,
433059,2018,COMPONENTE DI GIURIA,800,COMPAGNIA DI SAN PAOLO - AREA INNOVAZIONE CULTURALE,25/10/2018,25/10/2018,
432982,2018,DOCENZA,360,FONDAZIONE SCUOLA INTERREGIONALE DI POLIZIA LOCALE,05/11/2018,21/11/2018,
436147,2018,REVISORE DEI CONTI,6667,COMUNE DI MINUCCIANO (LU),23/10/2018,30/04/2019,
436964,2018,RELATORE A CONVEGNO,0,ITALEEDS,26/11/2018,26/11/2018,
439383,2018,DOCENZA,600,ASSOCIAZIONE COMUNICAZIONE PUBBLICA,13/11/2018,15/11/2018,
444577,2018,DOCENZA,1800,LIBRIAMOCI DI ANNALISA BONAZZI,01/11/2018,31/05/2019,
444532,2018,DOCENZA,2538,CTC AZIENDA SPECIALE DELLA CAMERA DI COMMERCIO DI BO,01/11/2018,30/04/2019,
444507,2018,ATTIVITA' ARTISTICA MUSICALE,660,FONDAZIONE TEATRO COMUNALE DI MODENA,05/11/2018,11/11/2018,
435976,2018,RELATORE A CONVEGNO,0,ASSOCIAZIONE AMICI DELLA DELFICO,26/10/2018,26/10/2018,
443549,2018,ISTRUTTORE DI CALCIO,0,IDEA CALCIO 2000 SSD ARL.,07/01/2019,31/05/2019,
448475,2018,DOCENZA,100,AIS EMILIA,02/11/2018,02/11/2018,
448948,2018,DOCENZA,600,UNIONE DELLA ROMAGNA FAENTINA,16/11/2018,16/11/2018,
452783,2018,COMPONENTE COMMISSIONE DI CONCORSO,250,COMUNE DI CASTELFRANCO EMILIA (MO),05/11/2018,31/01/2019,
453171,2018,ATTIVITA' SPORTIVA DILETTANTISTICA,0,CENTRO YOGA ASSOCIAZIONE SPORTIVA DILETTANTISTICA,05/11/2018,28/06/2019,
452570,2018,CONSULENZA,3000,ASSOCIAZIONE QUORE,07/11/2018,31/12/2018,
453378,2018,DOCENZA,160,ANAI - ASSOCIAZIONE NAZIONALE ARCHIVISTICA ITALIANA,08/11/2018,08/11/2018,
458719,2018,PARTECIPAZIONE A TAVOLA ROTONDA,0,UNIONE DELLA ROMAGNA FAENTINA,24/11/2018,24/11/2018,
458756,2018,DOCENZA,450,IAL-INNOVAZIONE APPRENDIMENTO LAVORO LOMBARDIA SRL,17/12/2018,17/12/2018,
458668,2018,DOCENZA,600,CENTRO PER LA SALUTE DEL BAMBINO ONLUS,09/11/2018,10/11/2018,
463894,2018,ATTIVITA' SPORTIVA DILETTANTISTICA,0,UISP ,09/11/2018,08/11/2019,
463947,2018,ATTIVITA' SPORTIVA DILETTANTISTICA,0,UISP,09/11/2018,08/11/2019,
464029,2018,COMPONENTE CONSIGLIO TERRITORIALE DI DISCIPLINA,3000,ORDINE DEGLI ASSISTENTI SOCIALI EMILIA ROMAGNA,09/11/2018,31/12/2021,
463990,2018,COMPONENTE GRUPPO TECNICO A SUPPORTO DELLA COMMISSIONE ETICA,0,ORDINE NAZIONALE ASSISTENTI SOCIALI,09/11/2018,31/12/2019,
470075,2018,ATTIVITA' SPORTIVA DILETTANTISTICA,0,ORANGE DANCE FITNESS BOLOGNA ASD,15/11/2018,14/11/2019,
471937,2018,DOCENZA,0,AZIENDA USL DI REGGIO EMILIA,17/11/2018,17/11/2018,
471953,2018,MEMBRO DI GIURIA MANIFESTAZIONI ORNITOLOGICHE,0,F.O.I. FEDERAZIONE ORNICOLTORI ITALIANI ONLUS,01/01/2019,31/01/2019,
477667,2018,COMPONENTE COMMISSIONE DI SELEZIONE,360,CITTA' METROPOLITANA DI BOLOGNA,20/11/2018,31/12/2018,
477532,2018,RELATORE A CONVEGNO,0,FONDAZIONE CHIARAVALLE MONTESSORI,17/11/2018,17/11/2018,
477696,2018,RELATORE A CONVEGNO,315,PROTEO FARE SAPERE BRESCIA,01/12/2018,01/12/2018,
480917,2018,ATTIVITA' SPORTIVA DILETTANTISTICA,0,UNIONE POLISPORTIVA PERSICETANA ASD,19/11/2018,31/07/2019,
480422,2018,CONSULENZA INFORMATICA,1500,DELTA ETHOS SRL,26/11/2018,10/12/2018,
483420,2018,ATTIVITA' SPORTIVA DILETTANTISTICA,0,UISP,20/11/2018,31/07/2019,
488142,2018,CONSULENZA,5000,CENTRO SERVIZI VALDARO SRL,22/11/2018,31/12/2018,
488129,2018,DOCENZA,150,DINAMICA SOCIETA' CONSORTILE R.L.,03/12/2018,03/12/2018,
494421,2018,ATTIVITA' ARTISTICA MUSICALE,550,FONDAZIONE TEATRO COMUNALE MODENA,13/12/2018,17/12/2018,
502507,2018,DOCENZA,1500,SCUOLA NAZIONALE DELL'AMMINISTRAZIONE,05/12/2017,28/03/2019,3
502553,2018,ATTIVITA' SPORTIVA DILETTANTISTICA,0,UISP,03/12/2018,31/08/2019,
502524,2018,DOCENZA,900,AIS EMILIA,04/12/2018,07/05/2019,4
508180,2018,CONCLUSIONE DI UN INTERVENTO DI RISANAMENTO CONSERVATIVO DI U.I. RESIDENZIALE,3020,THOMAS KARL LINFORD,28/11/2018,31/12/2018,
516507,2018,CONSULENZA,4800,COMUNE DI FOGGIA,13/12/2018,22/12/2018,10
